KISS,NSamp,grid_size,num_particles,time,steps,mean_ll,ll_of_mean_f,loss
1,100000,64,128,510,900,0.0939310546875,0.535136484375,-20.754175186157227
1,100000,64,128,566,1000,0.1919857421875,0.54688046875,-20.513137817382812
1,100000,64,128,566,1000,0.17577109375,0.545275,-21.685077667236328
1,100000,64,128,510,900,0.0786383935546875,0.5366326953125,-20.712858200073242
1,100000,64,128,569,1000,0.130379404296875,0.542231953125,-21.948863983154297
1,100000,128,128,494,1000,0.20576435546875,0.5721814453125,-48.68182373046875
1,100000,128,128,544,1100,0.156453232421875,0.574713203125,-48.41947937011719
1,100000,128,128,493,1000,0.06700591796875,0.5667621875,-46.44095993041992
1,100000,128,128,448,900,0.13081162109375,0.56106953125,-46.82337951660156
1,100000,128,128,543,1100,0.15557615234375,0.5815123046875,-49.00157165527344
1,100000,256,128,631,1100,0.10396994140625,0.5934214453125,-94.9359130859375
1,100000,256,128,574,1000,0.03383956298828125,0.589159296875,-92.26579284667969
1,100000,256,128,575,1000,0.11614904296875,0.584648125,-93.40937805175781
1,100000,256,128,582,1000,0.22413576171875,0.5862073046875,-90.11799621582031
1,100000,512,128,751,1100,0.1541992578125,0.6049708203125,-135.8680419921875
1,100000,512,128,749,1100,0.089841982421875,0.5983887890625,-133.49853515625
1,100000,512,128,752,1100,0.127538779296875,0.6064730078125,-143.48373413085938
1,100000,512,128,817,1200,0.17495896484375,0.608210078125,-144.60687255859375
1,100000,512,128,751,1100,0.008452589721679688,0.607141875,-134.86093139648438
